what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1589618105428
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1589618105429
os,sysinfo,,,"win32",1589618105431
arch,sysinfo,,,"x86_64",1589618105432
ws,sysinfo,,,"win32",1589618105432
locale,sysinfo,,,"zh_CN",1589618105432
processors,sysinfo,,,"8",1589618105432
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1589618105432
java.runtime.version,sysinfo,,,"1.8.0_221-b11",1589618105432
java.specification.name,sysinfo,,,"Java Platform API Specification",1589618105432
java.specification.vendor,sysinfo,,,"Oracle Corporation",1589618105432
java.specification.version,sysinfo,,,"1.8",1589618105432
java.vendor,sysinfo,,,"Oracle Corporation",1589618105432
java.version,sysinfo,,,"1.8.0_221",1589618105432
java.vm.info,sysinfo,,,"mixed mode",1589618105432
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1589618105432
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1589618105432
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1589618105432
java.vm.specification.version,sysinfo,,,"1.8",1589618105432
java.vm.vendor,sysinfo,,,"Oracle Corporation",1589618105432
java.vm.version,sysinfo,,,"25.221-b11",1589618105432
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1589618107394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618124634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618140034
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1589618140137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618145691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618214484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1589618214504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618221997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618227603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1589618227620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618230602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618283631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1589618283654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618287551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618309638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1589618309653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618312880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618328923
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1589618329464
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1589618329476
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1589618329521
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1589618329547
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1589618329700
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1589618329721
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1589618329738
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1589618329834
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1589618329840
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1589618329904
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1589618329990
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1589618332525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618334760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618337065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618339271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618348087
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1589618348637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618349045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618350949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618353625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618420088
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1589618420431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618420523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618423503
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589618435742
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1589618435777
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1589618436703
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1589618455846
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1589618455903
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1589618456248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.restartWorkbench",1589618456294
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1589618456336
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1589618456337
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1589618456337
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1589618456337
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1589618456337
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1589618456338
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1589618456339
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1589618456341
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1589618456342
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1589618456343
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1589618456344
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1589618482770
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1589618482771
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1589618482772
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1589618482772
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1589618482773
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1589618482773
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1589618482773
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1589618482775
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1589618482776
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1589618482776
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1589618482777
